                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.0903,                 1.2643,                0.90925,                0.32684,                  0.739,                0.50325,                0.50325,                 0.1074,                 1.5199,                0.17602,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                0.08318,                0.89436,                0.91499,                0.32236,                  0.875,                0.54318,                0.54318,                0.10492,                 1.4107,                 0.1759,             8.6634e-05,             8.6634e-05,             8.6634e-05
                      3,                0.07368,                0.81662,                0.91683,                0.31773,                  0.875,                0.55496,                0.54895,                0.13806,                 1.3759,                0.23436,             0.00013478,             0.00013478,             0.00013478
                      4,                0.08408,                0.80841,                0.91262,                0.30982,                  0.625,                0.50813,                0.50813,                 0.1519,                 1.3412,                0.25127,             0.00018193,             0.00018193,             0.00018193
                      5,                0.08218,                0.94659,                 0.9073,                0.69852,                    0.5,                0.46276,                0.46276,                0.13845,                 1.3634,                0.26263,             0.00022809,             0.00022809,             0.00022809
                      6,                0.09383,                0.85481,                0.92352,                0.28044,                0.71934,                0.51878,                0.51878,                0.15651,                 1.3394,                0.29108,             0.00027327,             0.00027327,             0.00027327
                      7,                0.10079,                0.82365,                0.92488,                0.36415,                0.89627,                0.70308,                0.70308,                0.21381,                  1.351,                 0.3509,             0.00031745,             0.00031745,             0.00031745
                      8,                 0.1271,                0.77951,                0.94577,                0.30767,                   0.75,                 0.7335,                 0.5669,                0.85519,                 2.0112,                0.88099,             0.00036065,             0.00036065,             0.00036065
                      9,                0.12842,                0.79784,                0.91553,                0.12919,                      1,                0.63608,                0.32987,                 1.4825,                 3.0893,                 1.1047,             0.00040285,             0.00040285,             0.00040285
                     10,                0.12632,                0.76909,                0.93411,                0.37185,                0.59525,                0.54919,                0.42948,                 0.9154,                 2.1673,                0.95102,             0.00044406,             0.00044406,             0.00044406
                     11,                0.13757,                 1.0312,                0.91863,                0.36515,                  0.737,                0.56146,                 0.3341,                 1.2075,                 2.1853,                 1.2281,             0.00048429,             0.00048429,             0.00048429
                     12,                0.12931,                0.95886,                0.92003,                0.67795,                0.39985,                0.28196,                0.13598,                 1.5318,                 3.6015,                 1.4418,             0.00052352,             0.00052352,             0.00052352
                     13,                0.12617,                0.90517,                0.92495,                0.16024,                0.64193,                0.29547,                0.17009,                  1.051,                 2.6179,                 1.0202,             0.00056176,             0.00056176,             0.00056176
                     14,                0.12231,                0.80729,                 0.9285,                0.23853,                  0.625,                0.34236,                0.22576,                 1.1083,                 2.4724,                 1.1283,             0.00059902,             0.00059902,             0.00059902
                     15,                0.11052,                0.76634,                0.91636,                0.13221,                      1,                0.34996,                 0.2523,                 1.0663,                 2.4796,                 1.2092,             0.00063528,             0.00063528,             0.00063528
                     16,                0.11568,                 0.8453,                 0.9226,                0.20809,                  0.625,                 0.3338,                0.28753,                0.70972,                 2.2652,                 1.0383,             0.00067056,             0.00067056,             0.00067056
                     17,                0.11384,                0.81822,                0.88269,                0.16122,                0.45729,                0.19497,                0.18429,                0.38806,                 2.3568,                0.61965,             0.00070484,             0.00070484,             0.00070484
                     18,                0.12778,                0.73281,                0.92971,                 0.1152,                  0.625,                0.19076,                0.18209,                 0.3213,                 9.5186,                0.48719,             0.00073813,             0.00073813,             0.00073813
                     19,                0.14587,                0.78977,                0.91011,                0.27127,                0.48534,                0.31114,                0.25631,                0.33977,                 8.5688,                0.47534,             0.00077044,             0.00077044,             0.00077044
                     20,                0.12694,                0.78465,                0.91506,                0.10336,                    0.5,                 0.1541,                0.10837,                0.64295,                 2.8786,                0.66126,             0.00080175,             0.00080175,             0.00080175
                     21,                0.12773,                0.90453,                0.90765,                0.36194,                   0.35,                 0.2272,                0.16955,                0.73058,                 2.6054,                0.76109,             0.00083208,             0.00083208,             0.00083208
                     22,                0.16078,                0.89725,                0.89742,                0.72478,                 0.3277,                0.43007,                0.39718,                 1.0137,                 2.5851,                 1.0023,             0.00086141,             0.00086141,             0.00086141
                     23,                0.15175,                 1.1579,                0.90896,                0.14617,                  0.575,                0.47402,                0.25097,                0.79879,                 2.1711,                0.83088,             0.00088975,             0.00088975,             0.00088975
                     24,                0.14603,                0.94586,                0.91572,                0.36717,                  0.775,                0.51127,                0.47804,                0.42487,                 1.6286,                0.51595,             0.00091711,             0.00091711,             0.00091711
                     25,                0.14459,                 1.0155,                0.91578,                0.28266,                   0.35,                0.40842,                 0.3474,                 0.7801,                 2.4843,                0.83834,             0.00094347,             0.00094347,             0.00094347
                     26,                0.18178,                0.98352,                0.94504,                0.19205,                0.94773,                0.35616,                0.26991,                  1.073,                 1.8717,                 1.0939,             0.00094062,             0.00094062,             0.00094062
                     27,                0.13652,                0.91383,                0.95041,                0.47819,                0.74542,                0.39946,                0.26439,                 1.1189,                 1.7436,                0.93023,             0.00092825,             0.00092825,             0.00092825
                     28,                0.14507,                0.82175,                0.93964,                0.36091,                    0.5,                  0.357,                0.22616,                 1.3167,                 2.0271,                0.98984,             0.00091588,             0.00091588,             0.00091588
                     29,                 0.1294,                 1.0214,                0.92351,                0.34579,                    0.5,                0.40125,                0.13097,                 2.1858,                 2.3221,                 1.3995,              0.0009035,              0.0009035,              0.0009035
                     30,                0.15221,                0.92838,                0.91997,                      1,                0.22498,                 0.4546,                0.37424,                0.72898,                 1.7582,                0.64046,             0.00089112,             0.00089112,             0.00089112
                     31,                0.15304,                0.95636,                0.92018,                0.61091,                0.35843,                0.46783,                0.44233,                0.39232,                 1.5546,                0.48519,             0.00087875,             0.00087875,             0.00087875
                     32,                 0.1422,                0.79326,                0.92125,                0.15053,                0.66608,                0.31553,                0.24749,                0.68397,                 1.9408,                0.62799,             0.00086637,             0.00086637,             0.00086637
                     33,                0.15478,                0.85242,                 0.9121,                0.37782,                    0.5,                 0.3033,                 0.2936,                0.36445,                 2.0947,                 0.4806,               0.000854,               0.000854,               0.000854
                     34,                0.13965,                0.82172,                0.91671,                0.28123,                0.65539,                0.45244,                0.45244,                0.21962,                  1.996,                0.30913,             0.00084162,             0.00084162,             0.00084162
                     35,                 0.1439,                0.77344,                0.87947,                0.31053,                0.93959,                0.38578,                0.35709,                0.40329,                 1.8787,                0.58742,             0.00082925,             0.00082925,             0.00082925
                     36,                0.13239,                 1.0157,                0.89698,                 0.2952,                0.90318,                0.37553,                0.30893,                0.50738,                 1.9624,                 1.0043,             0.00081688,             0.00081688,             0.00081688
                     37,                0.12497,                0.80862,                0.91453,                0.58139,                0.56137,                0.41085,                0.41085,                0.34494,                 1.6231,                0.57231,              0.0008045,              0.0008045,              0.0008045
                     38,                0.13731,                0.87076,                0.90118,                0.67412,                0.57994,                 0.5387,                0.53188,                0.31071,                 1.8244,                0.46614,             0.00079213,             0.00079213,             0.00079213
                     39,                0.17489,                 0.9412,                0.98384,                0.23611,                      1,                0.59101,                0.58424,                0.19068,                 1.6008,                0.28504,             0.00077975,             0.00077975,             0.00077975
                     40,                0.12497,                0.83618,                0.86348,                0.74575,                0.48816,                0.47394,                0.46394,                0.22089,                 1.7476,                0.34948,             0.00076738,             0.00076738,             0.00076738
                     41,                0.11721,                0.79965,                0.93778,                0.22115,                      1,                0.39628,                0.38737,                 0.2239,                  1.509,                0.36483,               0.000755,               0.000755,               0.000755
                     42,                0.16176,                0.81847,                0.93076,                0.33026,                0.53478,                0.51094,                 0.4983,                0.33393,                 1.7877,                0.48272,             0.00074263,             0.00074263,             0.00074263
                     43,                0.11653,                0.83217,                0.89373,                0.30463,                0.88258,                0.45371,                0.37291,                0.47098,                 1.7908,                0.75587,             0.00073025,             0.00073025,             0.00073025
                     44,                0.12293,                0.94823,                0.90627,                0.23024,                   0.45,                0.42745,                0.33577,                0.94057,                 2.0409,                 1.2195,             0.00071788,             0.00071788,             0.00071788
